no,page,section,content_type,key,english_text,traditional_chinese_text,section_id,button,web_link,image_file,status,notes
1,Global,Header,Logo,header_logo,Animetro Consulting,艾美加教育顧問,navigation,,animetro-header-logo-light-2026.png,,Approved,
2,Global,Header,Tagline,header_tagline,Growth Beyond Admission,成長超越升學,navigation,,animetro-header-logo-light-2026.png,,Approved,
3,Global,Header,Navigation,nav_home,Home,首頁,navigation,,,,Approved,
4,Global,Header,Navigation,nav_services,Services,服務項目,navigation,,/services,,Approved,
5,Global,Header,Navigation,nav_about,About,關於我們,navigation,,/about,,Approved,
6,Global,Header,Navigation,nav_resources,Resources,學習資源,navigation,,/events,,Approved,
7,Global,Header,Navigation,nav_insights,Insights,教育洞察,navigation,,/resources,,Approved,
8,Global,Header,Navigation,nav_events,Events,活動資訊,navigation,,/contact,,Approved,
9,Global,Header,Navigation,nav_contact,Contact,聯絡我們,navigation,,animetro-header-logo-light-2026.png,,Approved,
10,Global,Header,CTA Button,nav_start_here,Start Here,從這裡開始,navigation,,,,Approved,
11,Global,Footer,Logo,footer_logo,Animetro Consulting,艾美加教育顧問,navigation,,animetro_transparentlogo_final.png,,Approved,
12,Global,Footer,Tagline,footer_tagline,Growth Beyond Admission,成長超越升學,navigation,,animetro_transparentlogo_final.png,,Approved,
13,Global,Footer,Contact,footer_phone,905-955-7068,905-955-7068,navigation,,https://www.animetro.ca,,Approved,
14,Global,Footer,Contact,footer_email,consulting@animetro.ca,consulting@animetro.ca,navigation,,wechat-qr.jpg,,Approved,
15,Global,Footer,Contact,footer_website,www.animetro.ca,www.animetro.ca,navigation,,whatsapp-qr.jpg,,Approved,
16,Global,Footer,QR Code,footer_wechat_qr,WeChat,微信,navigation,,wechat-qr.jpg,,Approved,
17,Global,Footer,QR Code,footer_whatsapp_qr,WhatsApp,WhatsApp,navigation,,whatsapp-qr.jpg,,Approved,
18,Global,Footer,QR Label,footer_wechat_label,WeChat,添加微信,navigation,,,,Approved,
,Global,Footer,QR Label,footer_whatsapp_label,WhatsApp,WhatsApp,navigation,,,,Approved,
19,Global,Footer,Copyright,footer_copyright,© 2026 Animetro Consulting. All Rights Reserved.,© 2026 艾美加教育顧問．版權所有,navigation,,,,Approved,
7,Home,Hero,Title,hero_title,Strategic Education Consulting for Future-Ready Students,面向未來學生的全方位戰略教育諮詢,navigation,,,,Approved,
8,Home,Hero,Subtitle,hero_subtitle,Growth Beyond Admission,成長超越升學,navigation,,,,Approved,
9,Home,Hero,Description,hero_description,Helping students and families build personalized education pathways from elementary school through university.,協助學生與家庭建立從小學到大學的個性化教育發展路徑。,navigation,,,,Approved,
10,Home,Hero,Button,hero_primary_cta,Book a Free Consultation,預約免費諮詢,navigation,,,,Approved,
11,Home,Hero,Button,hero_secondary_cta,View Success Stories,查看成功案例,navigation,,,,Approved,
21,Home,Core Services,Title,services_title,Core Services,核心服務,core-services,,,,Approved,
22,Home,Core Services,Service Title,service_1_title,Education Strategy & Admissions,教育策略與升學申請,core-services,,animetro-strategy-consulting.npg,,Approved,
23,Home,Core Services,Service Description,service_1_desc,"Comprehensive educational planning including education strategy, private school admissions, boarding school admissions, university admissions, school campus visits, and interview preparation.",教育策略規劃、私立學校申請、寄宿學校申請、大學申請、校園參訪及面試準備。,core-services,,,,Approved,
24,Home,Core Services,Service Title,service_2_title,Student Development,學生成長與競爭力發展,core-services,,,,Approved,
25,Home,Core Services,Service Description,service_2_desc,"Helping students build competitive academic and personal profiles through STEAM pathways, research opportunities, leadership development, portfolio building, and summer enrichment programs.",透過STEAM發展、研究機會、領導力培養、作品集建立及暑期項目提升學生競爭力。,core-services,,,,Approved,
26,Home,Core Services,Service Title,service_3_title,Student-Athlete Development,學生運動員發展規劃,core-services,,,,Approved,
27,Home,Core Services,Service Description,service_3_desc,"Supporting student-athletes through academic-athletic planning, recruiting guidance, NCAA pathways, boarding school sports placement, and long-term athletic development.",協助學生運動員進行學業與運動規劃、招募指導、NCAA升學及寄宿學校運動發展。,core-services,,,,Approved,
28,Home,Core Services,Service Title,service_4_title,Gifted & Neurodiverse Learner Support,資優與神經多樣性學生支持,core-services,,,,Approved,
29,Home,Core Services,Service Description,service_4_desc,"Personalized support for gifted, twice-exceptional, ADHD, autistic, and learning-different students, including school advocacy, accommodations, executive function coaching, and parent guidance.",為資優、雙重特殊、ADHD、自閉症及學習差異學生提供個人化支持，包括學校協調、學習調整及家長指導。,core-services,,,,Approved,
30,Home,Core Services,Service Title,service_5_title,Family & Student Support,家庭與學生支持,core-services,,,,Approved,
31,Home,Core Services,Service Description,service_5_desc,"Supporting students and families through guardianship, international student support, school communication, school transitions, in-school performance support, and academic progress monitoring.",提供監護服務、國際學生支持、學校溝通協調、轉學適應、校內表現支持及學業進度追蹤。,core-services,,,,Approved,區塊標題
12,Home,Why Animetro,Title,why_title,Why Families Choose Animetro,為什麼家庭選擇艾美加,why-animetro,,,,Approved,區塊標題
13,Home,Why Animetro,Feature Title,why_1_title,Strategic Education Planning,戰略教育規劃,why-animetro,,,,Approved,特色一標題
14,Home,Why Animetro,Feature Description,why_1_desc,We help families plan long-term education pathways instead of making isolated school or application decisions.,我們協助家庭規劃長期教育路徑，而不只是處理單一學校選擇或申請決策,why-animetro,,,,Approved,特色一說明
15,Home,Why Animetro,Feature Title,why_2_title,Personalized Student Guidance,個性化學生指導,why-animetro,,,,Approved,特色二標題
