Page,Section,Content Key,English Text,Chinese Text,"Section ID
"," Button Text
",Link,Image File,Status,Notes
Home,Hero,hero_title,Strategic Education Consulting for Future-Ready Students,面向未來學生的全方位戰略教育諮詢,,,,consulting-meeting.jpg,Approved,首页主标题
Home,Hero,hero_subtitle,"Animetro Consulting helps families design personalized education pathways across school admissions, university planning, GPA management, STEAM development, student-athlete strategy, and gifted learner support.",艾美加教育顧問 为学生和家庭提供个性化教育路径规划，涵盖私校申请、大学申请、GPA 管理、STEAM 发展、学生运动员规划与天赋学习支持。艾美加戰略教育顧問為學生與家庭提供個性化教育路徑規劃，涵蓋私校申請、大學申請、GPA 管理、STEAM 發展、學生運動員規劃與招募，以及天賦與多元學習支持,,,,consulting-meeting.jpg,Approved,首页副标题
Home,Hero,hero_primary_cta,Book a Private Consultation,預約私人諮詢,,,,,Approved,主按钮
Home,Hero,hero_secondary_cta,Explore Our Services,了解我們的服務,,,,,Approved,副按钮
Home,Service,service_education_strategy_title,Education Strategy,全方位戰略教育規劃,strategic-planning,,zh/services/#strategic-planning,,Approved,服务卡片标题
Home,Service,service_education_strategy_desc,"Long-term academic planning, school selection, enrichment direction, and family decision support.",长期學业规划、學校选择、活动方向与家庭决策支持,,,,,Approved,服务卡片说明
Home,Service,service_prep_title,Prep School Admissions,菁英私校申请,elite-private-school,,zh/services/#elite-private-school,prep-school-campus.jpg,Approved,服务卡片标题
Home,Service,service_prep_desc,"Personalized guidance for students ages 4–19, including private school, boarding school, elementary, middle school, and high school applications.",為 4–19 歲學生提供個性化升學指導，包括私立學校、寄宿學校、小學、初中及高中申請,,,,prep-school-campus.jpg,Approved,服务卡片说明
Home,Service,service_university_title,University Admissions,大學申請,university-application,,zh/services/#university-application,university-campus.jpg,Approved,服务卡片标题
Home,Service,service_university_desc,"Strategic planning for university applications, essays, activities, and academic positioning.",围绕大学申请、文书、活动规划与学术定位提供策略支持。,,,,university-campus.jpg,Approved,服务卡片说明
Home,Service,service_gpa_title,GPA Management,GPA 管理、選課策略與學校溝通,gpa-management,,zh/services/#gpa-management,student-study.jpg,Approved,服务卡片标题
Home,Service,service_gpa_desc,"Academic performance planning, course strategy, study routines, and grade improvement support.",提供學业表现规划、选课策略、学习习惯建立与成绩提升支,,,,student-study.jpg,Approved,服务卡片说明
Home,Contact,contact_cta_title,Start Your Personalized Education Plan,開始你的個性化教育規劃,,,,,Approved,联系区标题
Home,Contact,contact_cta_button,Contact Animetro Strategic Education Consulting,聯繫艾美加戰略教育顧問,,,,,Approved,联系按钮
Home,Navigation,nav_education_strategy,Education Strategy,全方位戰略教育規劃,,,,,Approved,导航栏
Home,Navigation,nav_prep_school,Prep School Admissions,菁英私校申请,,,,,Approved,导航栏
Home,Navigation,nav_university,University Admissions,大學申請,,,,,Approved,导航栏
Home,Navigation,nav_gpa,GPA Management,GPA 管理,,,,,Approved,导航栏
Home,Navigation,nav_steam,STEAM Pathway,STEAM 路径,steam-pathway,,zh/services/#steam-pathway,,Approved,导航栏
Home,Navigation,nav_student_athlete,Student-Athlete,學生運動員規劃與招募,,,,,Approved,导航栏
Home,Navigation,nav_gifted,Gifted & Neurodiversity,天賦與多元學習支持,,,,,Approved,导航栏
Home,Navigation,nav_about,About,关于我们,student-athlete,,zh/services/#student-athlete,,Approved,导航栏
Home,Navigation,nav_contact,Contact,联系我们,,,,,Approved,导航栏
Home,About,About Animetro Education Consulting,About Animetro Strategic Education Consulting,关于艾美加教育顧問,gifted-diverse-learning,,zh/services/#gifted-diverse-learning,,Approved,关于我们标题
Home,About,about_desc,"Animetro Education Consulting supports high-net-worth families with long-term educational strategy, admissions planning, student development, school communication, and cross-border education resource integration.",艾美加教育顧問為高淨值家庭提供長期教育策略、升學規劃、學生發展支持、學校溝通與跨國教育資源整合。,,,,,Approved,关于我们说明
Home,About,company_credibility_title,About Animetro Strategic Education Consulting,關於艾美加教育顧問,,,,,Approved,
Home,About,company_credibility_body,"Animetro is a federally registered Canadian company based in Toronto, with roots dating back to 2002. Animetro Education Consulting operates as its education consulting brand, focusing on long-term educational strategy, admissions planning, student development support, and cross-border education resource integration for high-net-worth families.",艾美加 是一家總部位於多倫多的加拿大聯邦註冊公司，自 2002 年起建立品牌與服務基礎。艾美加教育顧問作為其教育顧問品牌，專注於為高淨值家庭提供長期教育策略、升學規劃、學生發展支持與跨國教育資源整合。,,,,,Approved,
Home,About,vision_title,Vision,願景,,,,,Approved,
Home,About,vision_body,"To build a boutique educational ecosystem that helps gifted, neurodivergent, highly sensitive, and intellectually unique students grow into confident, resilient, self-aware, and authentically differentiated individuals through long-term developmental guidance, whole-person education, and meaningful human connection. We envision an educational model that goes beyond admissions outcomes and supports students in building meaningful, balanced, and sustainable lives.",建立一個精品化的教育成長生態系統，透過長期成長指導、完整人格教育與深度人文陪伴，幫助具備天賦、多元學習特質、高敏感度與獨特思維方式的學生，逐漸成長為自信、有韌性、有方向感、情緒穩定且具有真實差異化特質的人。我們希望建立的教育，不僅關注申請結果，而是真正幫助學生建立長期、有意義、平衡且可持續的人生.,,,,,Approved,
Home,About,mission_title,Mission Statement,使命,,,,,Approved,
Home,About,mission_body,"Our mission is to provide long-term educational strategy, developmental mentorship, and ecosystem-based support that empowers students and families to navigate academic growth, emotional development, leadership, identity formation, executive function, and future educational pathways with clarity, confidence, and sustainability. We believe education is not about manufacturing perfect applicants, but about nurturing authentic human potential.",我們的使命是透過長期教育策略、成長指導與生態系統式支持，幫助學生與家庭建立學術成長能力、情緒發展、領導力、自我認同、執行功能與長期教育路徑，並以清晰、自信與可持續的方式面對未來。我們相信，教育不是製造完美申請者，而是幫助學生逐漸成長為最真實、最穩定、最有生命力的自己。,,,,,Approved,
Home,About,values_title,Core Values,核心價值觀,,,,,Approved,
Home,About,values_body,"Nurture the Nature: Every child has a unique developmental rhythm, cognitive profile, emotional pattern, and life trajectory. Whole-Person Development: True success requires balance between academic growth, emotional well-being, mental health, physical health, resilience, relationships, and long-term sustainability. Authentic Growth Over Artificial Packaging: We prioritize authentic long-term development over short-term admissions manipulation or superficial profile engineering. Long-Term Developmental Partnership: Meaningful educational development requires trust, consistency, communication, strategic alignment, and long-term accompaniment. Emotional Safety & Human Dignity: Students deserve to feel understood, emotionally safe, respected, and valued beyond performance metrics.",順勢培養：每個學生都有獨特的認知方式、情緒特質、天賦、成長節奏與人生軌跡。完整人格發展：真正長期可持續的成功，必須建立在學術成長、情緒健康、心理健康、身體健康、韌性、人際關係與長期生活平衡之上。真實成長高於短期包裝：我們重視真實長期成長，而不是短期包裝、表面定位、履歷工程或不自然的申請操作。長期成長型合作：真正有價值的教育支持，需要信任、一致性、溝通、長期策略對齊與持續陪伴。情緒安全與人的尊嚴：學生不應只被 GPA、排名、競賽或外在成就定義。他們需要被理解、尊重、接納，並擁有情緒安全感。,,,,,Approved,
Home,About,culture_title,Corporate Culture,企業文化,,,,,Approved,
Home,About,culture_body,"Our culture is built on long-term trust, intellectual honesty, emotional empathy, strategic thinking, deep personalization, ecosystem collaboration, and meaningful human relationships. We operate as a boutique educational ecosystem rather than a large-scale transactional agency. We value depth over scale, quality over quantity, alignment over sales, and authentic development over superficial prestige.",我們的企業文化建立在長期信任、認知誠實、情緒共情、戰略思維、深度個性化、資源整合與有意義的人際關係之上。我們不是大規模交易型機構，而是一個精品教育成長生態系統。我們更重視深度高於規模、品質高於數量、理念匹配高於銷售，以及真實成長高於表面名校光環。,,,,,Approved,
Home,About,philosophy_title,Educational Philosophy,教育理念,,,,,Approved,
Home,About,philosophy_body,"Education is not simply about helping students enter elite schools. Education is about helping students understand themselves, build confidence, develop resilience, maintain emotional well-being, discover meaningful direction, and become capable of building fulfilling lives.",教育並不只是把學生送進名校。真正有意義的教育，是幫助學生認識自己、建立自信、發展韌性、保持情緒健康、找到有意義的方向，並逐漸擁有建立豐富人生的能力。,,,,,Approved,
Home,About,team_title,Our Advisory Team,我們的顧問團隊,,,,,Approved,
