no,page,section,content_type,key,english_text,traditional_chinese_text,section_id,button,link,image_file,status
1,Global,Header,Logo,header_logo,Animetro Consulting,艾美加教育顧問,navigation,,logo file link,,Approved
2,Global,Header,Tagline,header_tagline,Growth Beyond Admission,成長超越升學,navigation,,animetro-header-logo-light-2026.png,,Approved
3,Global,Header,Navigation,nav_home,Home,首頁,navigation,,,,Approved
4,Global,Header,Navigation,nav_services,Services,服務,navigation,,/services,,Approved
5,Global,Header,Navigation,nav_about,About,關於我們,navigation,,/about,,Approved
6,Global,Header,Navigation,nav_events,Events,活動,navigation,,/events,,Approved
7,Global,Header,Navigation,nav_resources,Resources,資源,navigation,,/resources,,Approved
8,Global,Header,Navigation,nav_contact,Contact,聯絡我們,navigation,,/contact,,Approved
9,Global,Footer,Logo,footer_logo,Animetro Consulting,艾美加教育顧問,navigation,,animetro-header-logo-dark-2026.png,,Approved
10,Global,Footer,Tagline,footer_tagline,Growth Beyond Admission,成長超越升學,navigation,,,,Approved
11,Global,Footer,Contact,footer_phone,905-955-7068,905-955-7068,navigation,,,,Approved
12,Global,Footer,Contact,footer_email,consulting@animetro.ca,consulting@animetro.ca,navigation,,,,Approved
13,Global,Footer,Contact,footer_website,www.animetro.ca,www.animetro.ca,navigation,,https://www.animetro.ca,,Approved
14,Global,Footer,QR Code,footer_wechat_qr,WeChat,微信,navigation,,wechat-qr.jpg,,Approved
15,Global,Footer,QR Code,footer_whatsapp_qr,WhatsApp,WhatsApp,navigation,,whatsapp-qr.jpg,,Approved
16,Global,Footer,QR Label,footer_wechat_label,Scan to connect on WeChat,掃碼添加微信,navigation,,,,Approved
17,Global,Footer,QR Label,footer_whatsapp_label,Scan to connect on WhatsApp,掃碼聯絡 WhatsApp,navigation,,,,Approved
18,Global,Footer,Copyright,footer_copyright,© 2026 Animetro Consulting. All Rights Reserved.,© 2026 艾美加教育顧問．版權所有,navigation,,,,Approved
