no,image_category,website_section,image_file_name,google_drive_link,purpose,alt_text,recommended_use,status,notes
Home,Hero Campus Image,Home Hero,Main homepage image,animetro-hero-campus-golden-hour.png,Main homepage image,,,,
Home,Consultation Image,Home Hero / About,Family consulting scene,animetro-consultation-family-emily.png,Family consulting scene,,,,
Home,Student Admission Image,Success Stories,University admission visual,animetro-admitted-student-campus.png,University admission visual,,,,
Home,,,,,,,,,
Home,Private School Admission Image,Services,Private school admission visual,TBD (another girls with admission or campus image),Private school admission visual,,,,
Home,Boarding School Image,Services / Events,Boarding school pathway visual,TBD (maybe SSM gate),Boarding school pathway visual,,,,
Home,Logo,Header / Footer,Brand logo,01_Master Logo.png,Brand logo,,,,
Home,Favicon,Browser tab,Website favicon,animetro-favicon-logo-2026.png,Website favicon,,,,
Home,Our services,,,,,,,,
Home,Education Strategy,Home / Education Strategy,animetro-education-strategy-consulting.png,animetro-education-strategy-consulting.png,Visual for education strategy consulting section,Family and student meeting with education consultant for strategic academic planning,Home page Education Strategy section,Approved,
Home,Homepage / Services Intro,Home - Services Overview,guidiance.jpeg,https://drive.google.com/file/d/1sbPAHvaBfIG9kYCfGFd28OyE_J2UJzsR/view?usp=drivesdk,Use if this block needs an image,Do not replace existing live image,Filename is spelled as uploaded in Drive.,,
Home,Homepage / Strategic Mentoring,Home - Consultation or Strategic Planning Block,strategeticmentoring.jpeg,https://drive.google.com/file/d/1BdxVmdtaoCrvbuR1GlnNDS7rvqUyiCGA/view?usp=drivesdk,Optional / backup,Do not replace existing live image,Best if a separate mentoring/consultation image is needed.,,
Services,Services > Education Strategy,Education Strategy,educationstratgyconsulting.jpeg,https://drive.google.com/file/d/18X54vJxSitPrS-3pSnFWS_aLXUS1YLJS/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Filename is spelled as uploaded in Drive.,,
Services,Services > Prep School Admissions,Prep School Admissions,prepschooladmissionconsulting.jpeg,https://drive.google.com/file/d/1r6B6IlWx27tZNnv8KVrGq3SeQWJ2hCIQ/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Direct match for prep school admissions.,,
Services,Services > School Visit and Interview,School Visit & Interview Preparation,interviewprep.jpeg,https://drive.google.com/file/d/1-QkarKeOz98dCNA5h_XsRv8c4AFyn_KN/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Best match for school visits and interview preparation.,,
Services,Services > University Admissions,University Admissions,admissionconsulting.jpeg,https://drive.google.com/file/d/1iMG8QGfimdnOB7OS5mLnvGtb4_iM464d/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Use for university admissions/admission consulting.,,
Services,Services > GPA Management,GPA Management / Academic Skills,gpamanagement.jpeg,https://drive.google.com/file/d/18e5sE_ozdIK9TdwIDqaGQqiNmA5jbTbe/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Preferred lowercase current update.,,
