no,page,section,content_type,key,english_text,traditional_chinese_text,section_id,button,link,image_file,status,notes
1,Global,Header,Logo,header_logo,Animetro Consulting,艾美加教育顧問,navigation,,logo file link,,Approved,
2,Global,Header,Tagline,header_tagline,Growth Beyond Admission,成長超越升學,navigation,,animetro-header-logo-light-2026.png,,Approved,
3,Global,Header,Navigation,nav_home,Home,首頁,navigation,,,,Approved,
4,Global,Header,Navigation,nav_services,Services,服務項目,navigation,,/services,,Approved,
5,Global,Header,Navigation,nav_about,About,關於我們,navigation,,/about,,Approved,
6,Global,Header,Navigation,nav_resources,Resources,學習資源,navigation,,/events,,Approved,
7,Global,Header,Navigation,nav_insights,Insights,教育洞察,navigation,,/resources,,Approved,
8,Global,Header,Navigation,nav_events,Events,活動資訊,navigation,,/contact,,Approved,
9,Global,Header,Navigation,nav_contact,Contact,聯絡我們,navigation,,animetro-header-logo-light-2026.png,,Approved,
10,Global,Header,CTA Button,nav_start_here,Start Here,從這裡開始,navigation,,,,Approved,
11,Global,Footer,Logo,footer_logo,Animetro Consulting,艾美加教育顧問,navigation,,animetro-header-logo-dark-2026.png,,Approved,
12,Global,Footer,Tagline,footer_tagline,Growth Beyond Admission,成長超越升學,navigation,,animetro-header-logo-dark-2026.png,,Approved,
13,Global,Footer,Contact,footer_phone,905-955-7068,905-955-7068,navigation,,,,Approved,
14,Global,Footer,Contact,footer_email,consulting@animetro.ca,consulting@animetro.ca,navigation,,wechat-qr.jpg,,Approved,
15,Global,Footer,Contact,footer_website,www.animetro.ca,www.animetro.ca,navigation,,whatsapp-qr.jpg,,Approved,
16,Global,Footer,QR Code,footer_wechat_qr,WeChat,微信,navigation,,,,Approved,
17,Global,Footer,QR Code,footer_whatsapp_qr,WhatsApp,WhatsApp,navigation,,,,Approved,
18,Global,Footer,QR Label,footer_wechat_label,Connect on WeChat,掃碼添加微信,navigation,,,,Approved,
,Global,Footer,QR Label,footer_whatsapp_label,Connect on WhatsApp,掃碼聯絡 WhatsApp,navigation,,,,Approved,
19,Global,Footer,Copyright,footer_copyright,© 2026 Animetro Consulting. All Rights Reserved.,© 2026 艾美加教育顧問．版權所有,navigation,,,,Approved,
,Home,Hero,Title,hero_title,Growth Beyond Admissions,成長超越升學,navigation,,,,Approved,
,Home,Hero,Subtitle,hero_subtitle,"Personalized education pathway planning for students and families — from school admissions and university applications to academic strategy, STEAM development, student-athlete planning, and support for gifted, high-potential, and neurodiverse learners.",為學生與家庭提供個性化教育路徑規劃，涵蓋學校申請、大學申請、學術策略、STEAM 發展、學生運動員規劃，以及高智商、高潛能與多元神經譜系學生支持。,navigation,,,,Approved,
,Home,Hero,Description,hero_description,,,navigation,,,,Approved,
,Home,Hero,Button,hero_primary_cta,Book a Free Consultation,預約免費諮詢,navigation,,,,Approved,
,Home,Hero,Button,hero_secondary_cta,Explore Our Services,了解我們的服務,navigation,,,,Approved,
,Why Animetro,,,,,,,,,,,
,Home,Why Animetro,Title,why_title,Why Families Choose Animetro,為什麼家庭選擇艾美加,why-animetro,,,,Approved,區塊標題
,Home,Why Animetro,Feature Title,why_1_title,Strategic Education Planning,戰略教育規劃,why-animetro,,,,Approved,特色一標題
,Home,Why Animetro,Feature Description,why_1_desc,We help families plan long-term education pathways instead of making isolated school or application decisions.,我們協助家庭規劃長期教育路徑，而不只是處理單一學校選擇或申請決策,why-animetro,,,,Approved,特色一說明
,Home,Why Animetro,Feature Title,why_2_title,Personalized Student Guidance,個性化學生指導,why-animetro,,,,Approved,特色二標題
,Home,Why Animetro,Feature Description,why_2_desc,"Every student receives a tailored strategy based on academic profile, interests, strengths, goals, and family priorities.",每位學生都會依據學業背景、興趣、優勢、目標與家庭需求，制定專屬成長策略,why-animetro,,,,Approved,特色二說明
,Home,Why Animetro,Feature Title,why_3_title,Family-Centered Support,以家庭為中心的支持,why-animetro,,,,Approved,特色三標題
,Home,Why Animetro,Feature Description,why_3_desc,"We support both students and parents through planning, communication, decision-making, and school transitions.",我們在教育規劃、溝通協調、家庭決策與學校銜接過程中，同時支持學生與家長,why-animetro,,,,Approved,特色三說明
,Home,Why Animetro,Feature Title,why_4_title,Global Education Perspective,國際教育視野,why-animetro,,,,Approved,特色四標題
,Home,Why Animetro,Feature Description,why_4_desc,"Our guidance connects Canadian, U.S., and international education pathways with each student’s long-term growth.",我們結合加拿大、美國與國際教育路徑，協助學生建立面向長遠成長的教育規劃,why-animetro,,,,Approved,特色四說明
,5 Core Services,,,,,,,,,,,
21,Home,Core Services,Title,services_title,Core Services,核心服務,core-services,,,,Approved,區塊標題
22,Home,Core Services,Service Title,service_1_title,Private School Admissions,私校申請,core-services,,,,Approved,服務一標題
23,Home,Core Services,Service Description,service_1_desc,"Guidance for school selection, application strategy, interviews, essays, and family decision-making.",提供選校、申請策略、面試、文書及家庭決策支持。,core-services,,,,Approved,服務一說明
24,Home,Core Services,Service Title,service_2_title,University Admissions,大學申請,core-services,,,,Approved,服務二標題
25,Home,Core Services,Service Description,service_2_desc,"Strategic planning for university applications, program selection, personal statements, and long-term academic positioning.",提供大學申請、專業選擇、個人陳述及長期學術定位規劃。,core-services,,,,Approved,服務二說明
26,Home,Core Services,Service Title,service_3_title,GPA Management,GPA管理,core-services,,,,Approved,服務三標題
27,Home,Core Services,Service Description,service_3_desc,Academic planning and progress monitoring to help students improve performance and maintain competitive academic profiles.,協助學生進行學業規劃與進度追蹤，提升成績並保持有競爭力的學術背景。,core-services,,,,Approved,服務三說明
28,Home,Core Services,Service Title,service_4_title,STEM Pathway Planning,STEM發展規劃,core-services,,,,Approved,服務四標題
29,Home,Core Services,Service Description,service_4_desc,"Support for students interested in science, technology, engineering, mathematics, research, competitions, and enrichment opportunities.",支持有志於科學、科技、工程、數學、研究、競賽及拓展項目的學生。,core-services,,,,Approved,服務四說明
30,Home,Core Services,Service Title,service_5_title,Student-Athlete Planning,學生運動員規劃,core-services,,,,Approved,服務五標題
31,Home,Core Services,Service Description,service_5_desc,Integrated academic and athletic planning for students pursuing competitive sports alongside school and university pathways.,為兼顧競技體育與學業發展的學生提供整合式升學及運動規劃。,core-services,,,,Approved,服務五說明
32,Home,Core Services,Service Title,service_6_title,Neurodiversity Support,神經多樣性支持,core-services,,,,Approved,服務六標題
33,Home,Core Services,Service Description,service_6_desc,"Personalized planning for students with ADHD, autism, giftedness, anxiety, learning differences, or unique support needs.",為ADHD、自閉症、資優、焦慮、學習差異或有特殊支持需求的學生提供個性化規劃。,core-services,,,,Approved,服務六說明
,Success Storries,,,,,,,,,,,
34,Home,Success Stories,Title,success_title,Student Success Stories,學生成功案例,success-stories,,,,Approved,區塊標題
35,Home,Success Stories,Story Title,success_1_title,Private School Admission Success,私校錄取成功案例,success-stories,,,,Approved,案例一標題
36,Home,Success Stories,Story Description,success_1_desc,"Supported a Grade 7 student through school selection, application strategy, interviews, and enrollment at a leading independent school.",協助七年級學生完成選校、申請策略、面試及錄取流程，成功進入優秀私立學校。,success-stories,,,,Approved,案例一說明
37,Home,Success Stories,Story Title,success_2_title,Student Athlete Development Pathway,學生運動員發展路徑,success-stories,,,,Approved,案例二標題
38,Home,Success Stories,Story Description,success_2_desc,"Guided student-athletes in balancing academics, training, competition schedules, and long-term educational planning.",協助學生運動員平衡學業、訓練、比賽與長期教育規劃。,success-stories,,,,Approved,案例二說明
39,Home,Success Stories,Story Title,success_3_title,STEM & Research Development,STEM與研究能力發展,success-stories,,,,Approved,案例三標題
40,Home,Success Stories,Story Description,success_3_desc,"Helped students build STEM portfolios through research projects, competitions, enrichment programs, and academic planning.",協助學生透過研究項目、競賽、拓展課程及學術規劃建立STEM發展履歷。,success-stories,,,,Approved,案例三說明
41,Home,Success Stories,Story Title,success_4_title,Neurodiversity Student Success,神經多樣性學生成功案例,success-stories,,,,Approved,案例四標題
42,Home,Success Stories,Story Description,success_4_desc,"Supported students with ADHD, autism, giftedness, and learning differences through personalized educational pathways.",為ADHD、自閉症、資優及學習差異學生提供個人化教育發展路徑。,success-stories,,,,Approved,案例四說明
43,Home,Meet Emily,Title,founder_title,Meet Emily Huang,認識 Emily Huang,,,,,meet-emily,Approved
44,Home,Meet Emily,Subtitle,founder_subtitle,Founder & Principal Consultant,創辦人兼首席教育顧問,,,,,meet-emily,Approved
45,Home,Meet Emily,Bio,founder_bio,"Emily Huang brings more than 20 years of experience in education, psychology, neurodiversity advocacy, family support, and student development. She specializes in helping students and families navigate educational pathways with confidence and purpose.",Emily Huang 擁有超過20年的教育、心理學、神經多樣性倡導、家庭支持及學生發展經驗，專注於協助學生與家庭建立清晰且有方向的教育成長路徑。,,,,,meet-emily,Approved
46,Home,Meet Emily,Highlight,founder_highlight_1,Educational Strategy & Planning,教育策略與規劃,,,,,meet-emily,Approved
47,Home,Meet Emily,Highlight,founder_highlight_2,Private School & University Admissions,私校及大學申請規劃,,,,,meet-emily,Approved
